data,ndvi
07/04/2005,0.3053
23/04/2005,0.3062
09/05/2005,0.2751
25/05/2005,0.2776
10/06/2005,0.2353
26/06/2005,0.2207
12/07/2005,0.2147
28/07/2005,0.1911
13/08/2005,0.2015
29/08/2005,0.231
14/09/2005,0.2887
30/09/2005,0.2392
16/10/2005,0.6289
01/11/2005,0.6949
17/11/2005,0.4261
03/12/2005,0.4455
19/12/2005,0.5899
01/01/2006,0.8616
17/01/2006,0.8132
02/02/2006,0.8097
18/02/2006,0.8943
06/03/2006,0.6407
22/03/2006,0.4756
07/04/2006,0.3896
23/04/2006,0.3114
09/05/2006,0.4412
25/05/2006,0.3409
10/06/2006,0.3151
26/06/2006,0.2852
12/07/2006,0.2454
28/07/2006,0.2634
13/08/2006,0.235
29/08/2006,0.255
14/09/2006,0.2267
30/09/2006,0.2453
16/10/2006,0.1972
01/11/2006,0.296
17/11/2006,0.2255
03/12/2006,0.6609
19/12/2006,0.6538
01/01/2007,0.8773
17/01/2007,0.7159
02/02/2007,0.5079
18/02/2007,0.3273
06/03/2007,0.633
22/03/2007,0.739
07/04/2007,0.8233
23/04/2007,0.7763
09/05/2007,0.7445
25/05/2007,0.5595
10/06/2007,0.4924
26/06/2007,0.4364
12/07/2007,0.3942
28/07/2007,0.3584
13/08/2007,0.3382
29/08/2007,0.3154
14/09/2007,0.2965
30/09/2007,0.3097
16/10/2007,0.2836
01/11/2007,0.338
17/11/2007,0.5386
03/12/2007,0.776
19/12/2007,0.8564
01/01/2008,0.8396
17/01/2008,0.9346
02/02/2008,0.817
18/02/2008,0.7587
05/03/2008,0.6096
21/03/2008,0.1645
06/04/2008,0.5879
22/04/2008,0.6149
08/05/2008,0.3937
24/05/2008,0.3301
09/06/2008,0.3107
25/06/2008,0.2605
11/07/2008,0.2029
27/07/2008,0.2041
12/08/2008,0.1949
28/08/2008,0.2015
13/09/2008,0.2827
29/09/2008,0.238
15/10/2008,0.3959
31/10/2008,0.2983
16/11/2008,0.2946
02/12/2008,0.292
18/12/2008,0.6332
01/01/2009,0.7833
17/01/2009,0.8303
02/02/2009,0.9299
18/02/2009,0.8867
06/03/2009,0.6522
22/03/2009,0.5112
07/04/2009,0.3591
23/04/2009,0.4796
09/05/2009,0.5034
25/05/2009,0.4194
10/06/2009,0.2996
26/06/2009,0.2429
12/07/2009,0.2778
28/07/2009,0.2494
13/08/2009,0.2259
29/08/2009,0.2353
14/09/2009,0.298
30/09/2009,0.288
16/10/2009,0.4282
01/11/2009,0.8137
17/11/2009,0.4901
03/12/2009,0.4589
19/12/2009,0.5794
01/01/2010,0.9357
17/01/2010,0.7583
02/02/2010,0.9168
18/02/2010,0.9542
06/03/2010,0.6971
22/03/2010,0.59
07/04/2010,0.2915
23/04/2010,0.2529
09/05/2010,0.3711
25/05/2010,0.3296
10/06/2010,0.2527
26/06/2010,0.1896
12/07/2010,0.1855
28/07/2010,0.2072
13/08/2010,0.1821
29/08/2010,0.192
14/09/2010,0.1847
30/09/2010,0.2389
16/10/2010,0.4383
01/11/2010,0.608
17/11/2010,0.3941
03/12/2010,0.5025
19/12/2010,0.6471
01/01/2011,0.6511
17/01/2011,0.8694
02/02/2011,0.8234
18/02/2011,0.7721
06/03/2011,0.4552
22/03/2011,0.3605
07/04/2011,0.4051
23/04/2011,0.4312
09/05/2011,0.2524
25/05/2011,0.226
10/06/2011,0.2111
26/06/2011,0.1848
12/07/2011,0.1949
28/07/2011,0.1741
13/08/2011,0.1775
29/08/2011,0.1651
14/09/2011,0.1902
30/09/2011,0.1861
16/10/2011,0.2102
01/11/2011,0.5913
17/11/2011,0.5451
03/12/2011,0.3637
19/12/2011,0.9135
01/01/2012,0.8225
17/01/2012,0.914
02/02/2012,0.8521
18/02/2012,0.8159
05/03/2012,0.5439
21/03/2012,0.3799
06/04/2012,0.3045
22/04/2012,0.4853
08/05/2012,0.7228
24/05/2012,0.742
09/06/2012,0.6381
25/06/2012,0.5206
11/07/2012,0.4266
27/07/2012,0.3341
12/08/2012,0.2954
28/08/2012,0.2975
13/09/2012,0.3183
29/09/2012,0.3029
15/10/2012,0.2926
31/10/2012,0.315
16/11/2012,0.345
02/12/2012,0.7538
18/12/2012,0.9192
01/01/2013,0.8881
17/01/2013,0.9128
02/02/2013,0.8481
18/02/2013,0.4667
06/03/2013,0.3699
22/03/2013,0.3692
07/04/2013,0.6484
23/04/2013,0.8301
09/05/2013,0.7469
25/05/2013,0.6877
10/06/2013,0.5662
26/06/2013,0.4676
12/07/2013,0.3917
28/07/2013,0.3608
13/08/2013,0.3302
29/08/2013,0.2681
14/09/2013,0.3395
30/09/2013,0.29
16/10/2013,0.2624
01/11/2013,0.4082
17/11/2013,0.6823
03/12/2013,0.8767
19/12/2013,0.8201
01/01/2014,0.9178
17/01/2014,0.6227
02/02/2014,0.3874
18/02/2014,0.1892
06/03/2014,0.6422
22/03/2014,0.6335
07/04/2014,0.8575
23/04/2014,0.8605
09/05/2014,0.8108
25/05/2014,0.5888
10/06/2014,0.4594
26/06/2014,0.364
12/07/2014,0.2962
28/07/2014,0.2842
13/08/2014,0.3051
29/08/2014,0.2387
14/09/2014,0.2695
30/09/2014,0.294
16/10/2014,0.3478
01/11/2014,0.3664
17/11/2014,0.4765
03/12/2014,0.6048
19/12/2014,0.9115
01/01/2015,0.9167
17/01/2015,0.8757
02/02/2015,0.7295
18/02/2015,0.4515
06/03/2015,0.4699
22/03/2015,0.6385
07/04/2015,0.8358
23/04/2015,0.8711
09/05/2015,0.8256
25/05/2015,0.6696
10/06/2015,0.4922
26/06/2015,0.3998
12/07/2015,0.3527
28/07/2015,0.3273
13/08/2015,0.2979
29/08/2015,0.2679
14/09/2015,0.2412
30/09/2015,0.2325
16/10/2015,0.2684
01/11/2015,0.3205
17/11/2015,0.6188
03/12/2015,0.7282
19/12/2015,0.9388
01/01/2016,0.9388
17/01/2016,0.197
02/02/2016,0.9228
18/02/2016,0.5341
05/03/2016,0.3683
21/03/2016,0.528
06/04/2016,0.8439
22/04/2016,0.7714
08/05/2016,0.5882
24/05/2016,0.3967
09/06/2016,0.4203
25/06/2016,0.3373
11/07/2016,0.3291
27/07/2016,0.3027
12/08/2016,0.2969
28/08/2016,0.2852
13/09/2016,0.2594
29/09/2016,0.5328
15/10/2016,0.5694
31/10/2016,0.3167
16/11/2016,0.7049
02/12/2016,0.5042
18/12/2016,0.9317
01/01/2017,0.9367
17/01/2017,0.8119
02/02/2017,0.6982
18/02/2017,0.3994
06/03/2017,0.4389
22/03/2017,0.9089
07/04/2017,0.8717
23/04/2017,0.8791
09/05/2017,0.8663
25/05/2017,0.8282
10/06/2017,0.3941
26/06/2017,0.3794
12/07/2017,0.2972
28/07/2017,0.3051
13/08/2017,0.2835
29/08/2017,0.2663
14/09/2017,0.264
30/09/2017,0.2324
16/10/2017,0.2593
01/11/2017,0.2183
17/11/2017,0.4046
03/12/2017,0.7252
19/12/2017,0.9034
01/01/2018,0.905
17/01/2018,0.9477
02/02/2018,0.6766
18/02/2018,0.3134
06/03/2018,0.3847
22/03/2018,0.5827
07/04/2018,0.881
23/04/2018,0.8838
09/05/2018,0.835
25/05/2018,0.6458
10/06/2018,0.372
26/06/2018,0.3568
12/07/2018,0.2752
28/07/2018,0.2821
13/08/2018,0.2596
29/08/2018,0.2615
14/09/2018,0.2563
30/09/2018,0.2711
16/10/2018,0.4012
01/11/2018,0.7951
17/11/2018,0.8969
03/12/2018,0.9383
19/12/2018,0.7937
01/01/2019,0.7937
17/01/2019,0.2622
02/02/2019,0.4474
18/02/2019,0.6735
06/03/2019,0.8917
22/03/2019,0.8545
07/04/2019,0.8356
23/04/2019,0.6654
09/05/2019,0.4003
25/05/2019,0.481
10/06/2019,0.3436
26/06/2019,0.2867
12/07/2019,0.2885
28/07/2019,0.2744
13/08/2019,0.2623
29/08/2019,0.2622
14/09/2019,0.2661
30/09/2019,0.2651
16/10/2019,0.3465
01/11/2019,0.6496
17/11/2019,0.946
03/12/2019,0.9481
19/12/2019,0.9128
01/01/2020,0.8681
17/01/2020,0.7182
02/02/2020,0.1538
18/02/2020,0.3382
05/03/2020,0.8627
21/03/2020,0.8424
06/04/2020,0.8539
22/04/2020,0.8274
08/05/2020,0.773
24/05/2020,0.4576
09/06/2020,0.4376
25/06/2020,0.3135
11/07/2020,0.3102
27/07/2020,0.2943
12/08/2020,0.2821
28/08/2020,0.269
13/09/2020,0.247
29/09/2020,0.2462
15/10/2020,0.2994
31/10/2020,0.4981
16/11/2020,0.7394
02/12/2020,0.8352
18/12/2020,0.9312
01/01/2021,0.9038
17/01/2021,0.7398
02/02/2021,0.4691
18/02/2021,0.4032
06/03/2021,0.8876
22/03/2021,0.8932
07/04/2021,0.8919
23/04/2021,0.8556
09/05/2021,0.7622
25/05/2021,0.4085
10/06/2021,0.3902
26/06/2021,0.2915
12/07/2021,0.2744
28/07/2021,0.2795
13/08/2021,0.2643
29/08/2021,0.2659
14/09/2021,0.2685
30/09/2021,0.2963
16/10/2021,0.2671
01/11/2021,0.5734
17/11/2021,0.8842
03/12/2021,0.867
19/12/2021,0.3497
01/01/2022,0.7388
17/01/2022,0.6133
02/02/2022,0.3157
18/02/2022,0.5843
06/03/2022,0.8809
22/03/2022,0.8235
07/04/2022,0.8722
23/04/2022,0.7036
09/05/2022,0.3982
25/05/2022,0.3345
10/06/2022,0.2859
26/06/2022,0.286
12/07/2022,0.2768
28/07/2022,0.2656
13/08/2022,0.2421
29/08/2022,0.2288
14/09/2022,0.2356
30/09/2022,0.2273
16/10/2022,0.2606
01/11/2022,0.3161
17/11/2022,0.7942
03/12/2022,0.9047
19/12/2022,0.8119
01/01/2023,0.8119
17/01/2023,0.9265
02/02/2023,0.3695
18/02/2023,0.2926
06/03/2023,0.3998
22/03/2023,0.9018
07/04/2023,0.8427
23/04/2023,0.8489
09/05/2023,0.8246
25/05/2023,0.7625
10/06/2023,0.5044
26/06/2023,0.3611
12/07/2023,0.276
28/07/2023,0.2556
13/08/2023,0.2158
29/08/2023,0.2424
14/09/2023,0.2554
30/09/2023,0.3092
16/10/2023,0.4384
01/11/2023,0.6273
17/11/2023,0.8652
03/12/2023,0.9384
19/12/2023,0.9072
01/01/2024,0.8626
17/01/2024,0.6122
02/02/2024,0.3179
18/02/2024,0.6941
05/03/2024,0.8958
21/03/2024,0.9067
06/04/2024,0.876
22/04/2024,0.8672
08/05/2024,0.5558
24/05/2024,0.3712
09/06/2024,0.2892
25/06/2024,0.2877
11/07/2024,0.2808
27/07/2024,0.2746
12/08/2024,0.278
28/08/2024,0.2484
13/09/2024,0.2596
29/09/2024,0.2688
15/10/2024,0.2518
31/10/2024,0.2382
16/11/2024,0.8122
02/12/2024,0.8431
18/12/2024,0.9
01/01/2025,0.1166
17/01/2025,0.9024
02/02/2025,0.3225
18/02/2025,0.3114
06/03/2025,0.6147
22/03/2025,0.8697
